h3_cell,violation_count,unique_vehicles,unique_devices,unique_days,mean_severity,peak_hour_count,mean_vehicle_severity,dominant_vehicle,dominant_violation,lat,lon,police_station,has_junction_pct,road_type,lanes,road_capacity,peak_ratio,violations_per_device,has_stdbscan_cluster,gi_z_score,gi_p_value,gi_hotspot,gi_coldspot,lisa_i,lisa_p,lisa_q,lisa_label,lisa_significant,lisa_hh,hotspot_status,hotspot_confidence,mean_dwell,median_dwell,dwell_samples,chronic_offender_count,max_days_seen,lambda_raw,lambda_normalized,mu,expected_n,bpr_delay_min_per_km,cis_violation_density,cis_vehicle_severity,cis_queueing_delay,road_impact_raw,cis_road_capacity_impact,cis_temporal_persistence,cis_peak_hour_ratio,CIS,rank,sensitivity_note,location_name,peak_description,predicted_risk,risk_category,trend_direction,predicted_violations_next_week,priority_score,recommended_shift,peak_hour
8960145120fffff,2,2,2,2,1.3353246500812714,0,2.0,CAR,NO PARKING,12.91424985,77.51440935,Kengeri,0.0,local,2.0,1600.0,0.0,1.0,False,-0.2833631310971551,0.156,False,False,0.1411980044430617,0.167,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000552132843162,0.000276066421581,0.6057786546239967,0.0004557216063553,0.1081106761944346,0.0,0.2,0.7245013052181493,0.5,0.0031746031746031,0.0066666666666666,0.0,18.6043118186487,542,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-0fffff,Distributed throughout the day,18.6043118186487,MINIMAL,STABLE,0,3.461204182455117,morning_shift,7:00
89601451233ffff,1,1,1,1,0.3465735902799726,0,1.0,SCOOTER,NO PARKING,12.909474,77.5130762,Kengeri,0.0,collector,2.0,2400.0,0.0,1.0,False,-0.3076731776181174,0.118,False,False,0.1533203402892215,0.129,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.0720518879075426,0.0,0.0,0.2414729738899966,0.5,0.0031746031746031,0.0,0.0,4.87707852541898,2273,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-33ffff,Distributed throughout the day,3.9016628203351846,MINIMAL,UNKNOWN,1,0.19028715954482384,morning_shift,11:00
8960145123bffff,3,3,1,1,2.307085806203031,0,2.333333333333333,CAR,PARKING IN A MAIN ROAD | NO PARKING,12.9128301,77.5137208,Kengeri,0.0,collector,2.0,2400.0,0.0,3.0,False,-0.3076007090049551,0.118,False,False,0.1054881289683655,0.129,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000828199264743,0.000828199264743,0.6057786546239967,0.001367164819066,0.0721833900908164,0.0127388535031847,0.2666666666666666,0.2432345217170443,1.5,0.0158730158730158,0.0,0.0,10.754590343349076,1550,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-3bffff,Distributed throughout the day,8.60367227467926,MINIMAL,UNKNOWN,3,0.9252897076260576,morning_shift,7:00
89601451257ffff,9,9,1,4,1.128665994838643,4,2.1666666666666665,CAR,WRONG PARKING,12.916572966666669,77.52058868888889,Kengeri,0.0,collector,2.0,2400.0,0.4444444444444444,9.0,False,-0.3608812706175974,0.045,False,True,-0.0446198528147084,0.054,4,HL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0024845977942292,0.0024845977942292,0.6057786546239967,0.0041014944571981,0.0724583179287274,0.0509554140127388,0.2333333333333333,0.2469173391685137,4.5,0.0539682539682539,0.02,0.4444444444444444,16.332867054323668,778,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-57ffff,Moderate peak-hour concentration (40-60%),11.433006938026567,MINIMAL,FALLING,0,1.8673378234994802,morning_shift,10:00
89601451263ffff,5,5,3,3,1.2955703199494122,0,1.7,SCOOTER,NO PARKING,12.91848164,77.513663,Kengeri,0.0,collector,2.0,2400.0,0.0,1.6666666666666667,False,-0.2768562654723743,0.168,False,False,0.1236181021381416,0.182,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0013803321079051,0.000460110702635,0.6057786546239967,0.0007595360105922,0.0720920373354734,0.0042462845010615,0.1399999999999999,0.2420107987060412,0.8333333333333334,0.0074074074074074,0.0133333333333333,0.0,7.9908175310918095,1996,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-63ffff,Distributed throughout the day,7.9908175310918095,MINIMAL,STABLE,1,0.638531648152042,night_shift,4:00
8960145126bffff,3,3,1,1,0.3465735902799725,0,1.0,MOTOR CYCLE,NO PARKING,12.921978866666668,77.51446776666667,Kengeri,0.0,collector,2.0,2400.0,0.0,3.0,False,-0.3772876263701546,0.031,False,True,0.1293974543991108,0.039,3,LL,True,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000828199264743,0.000828199264743,0.6057786546239967,0.001367164819066,0.0720956886700308,0.0127388535031847,0.0,0.2420597104449591,1.5,0.0158730158730158,0.0,0.0,5.397760784574039,2228,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-6bffff,Distributed throughout the day,4.318208627659232,MINIMAL,UNKNOWN,3,0.23308657189988286,night_shift,4:00
89601451287ffff,1,1,1,1,0.6931471805599453,0,2.0,JEEP,NO PARKING,12.9026833,77.5190814,Kengeri,0.0,collector,2.0,2400.0,0.0,1.0,False,-0.3919480055574534,0.023,False,True,0.1953444378892419,0.027,3,LL,True,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.072073784129623,0.0,0.2,0.2417662864530736,0.5,0.0031746031746031,0.0,0.0,8.882944776680523,1831,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-87ffff,Distributed throughout the day,7.106355821344419,MINIMAL,UNKNOWN,1,0.6312536632444463,morning_shift,11:00
896014512a3ffff,3,3,1,2,0.8086717106532696,0,2.333333333333333,CAR,NO PARKING,12.904228566666667,77.51244003333333,Kengeri,0.0,collector,2.0,2400.0,0.0,3.0,False,-0.3270482208278014,0.091,False,False,0.1121604988560153,0.102,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000828199264743,0.000828199264743,0.6057786546239967,0.001367164819066,0.0721833900908164,0.0127388535031847,0.2666666666666666,0.2432345217170443,1.5,0.0158730158730158,0.0066666666666666,0.0,10.821257010015742,1534,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-a3ffff,Distributed throughout the day,7.574879907011019,MINIMAL,FALLING,0,0.8196972229377039,night_shift,2:00
896014512a7ffff,1,1,1,1,1.2130075659799042,1,3.5,LGV,NO PARKING,12.9039264,77.5108473,Kengeri,0.0,collector,2.0,2400.0,1.0,1.0,False,-0.3076731776181174,0.118,False,False,0.1533203402892215,0.129,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.0721066440607924,0.0,0.5,0.2422064642425775,0.5,0.0031746031746031,0.0,1.0,24.8917483324706,168,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Kengeri / Cell-a7ffff,Heavy peak-hour concentration (>60%),19.91339866597648,MINIMAL,UNKNOWN,1,4.956793080376423,morning_shift,10:00
8960145140bffff,2,2,2,2,1.1182079924046002,0,2.0,MAXI-CAB,WRONG PARKING,12.8761357,77.53007835,Thalagattapura,0.0,collector,2.0,2000.0,0.0,1.0,False,-0.1232409580124167,0.458,False,False,0.0613522190030228,0.461,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000552132843162,0.000276066421581,0.6057786546239967,0.0004557216063553,0.072073784129623,0.0,0.2,0.2417662864530736,0.5,0.0031746031746031,0.0066666666666666,0.0,8.94961144334719,1815,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-0bffff,Distributed throughout the day,7.159689154677752,MINIMAL,UNKNOWN,2,0.6407643598951277,evening_shift,4:00
89601451483ffff,19,19,5,15,1.3007276221111896,1,2.1578947368421053,CAR,WRONG PARKING,12.866445636842103,77.53467838421052,Thalagattapura,0.0,arterial,2.0,3600.0,0.0526315789473684,3.8,False,0.1461990585098728,0.242,False,False,-0.0410953975718796,0.237,2,LH,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0052452620100396,0.0010490524020079,0.6057786546239967,0.0017317421041503,0.0541572948887967,0.0178343949044585,0.231578947368421,0.0017645472820136,1.9,0.0209523809523809,0.0933333333333333,0.0526315789473684,6.886664602712892,2103,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-83ffff,Distributed throughout the day,8.95266398352676,MINIMAL,RISING,4,0.6165399415533632,morning_shift,4:00
89601451497ffff,1,1,1,1,0.6931471805599453,0,2.0,CAR,NO PARKING,12.8644912,77.5331024,Thalagattapura,0.0,arterial,2.0,3600.0,0.0,1.0,False,0.1441695537181684,0.244,False,False,-0.0719934753047344,0.239,2,LH,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.0540553380972173,0.0,0.2,0.0003987770705372,0.5,0.0031746031746031,0.0,0.0,4.055594589029794,2356,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-97ffff,Distributed throughout the day,3.244475671223835,MINIMAL,UNKNOWN,1,0.13158277976454194,night_shift,3:00
8960145149bffff,19,18,3,13,1.2821056302479987,0,2.1578947368421053,CAR,WRONG PARKING,12.868375694736844,77.5361911263158,Thalagattapura,0.0,arterial,2.0,3600.0,0.0,6.333333333333333,False,0.1216452021037679,0.263,False,False,-0.0101980632815352,0.262,2,LH,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0052452620100396,0.0017484206700132,0.6057786546239967,0.0028862368402505,0.054247391762618,0.0339702760084925,0.231578947368421,0.0029714470334289,3.1666666666666665,0.037037037037037,0.08,0.0,6.89582034380487,2100,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-9bffff,Distributed throughout the day,8.964566446946332,MINIMAL,RISING,8,0.6181803967824306,morning_shift,11:00
896014514c3ffff,3,3,2,3,1.0288458694995033,1,1.6666666666666667,CAR,NO PARKING,12.8741824,77.53871236666667,Thalagattapura,0.0,collector,2.0,2400.0,0.3333333333333333,1.5,False,-0.0361946735024492,0.412,False,False,0.0165539339936414,0.413,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000828199264743,0.0004140996323715,0.6057786546239967,0.000683582409533,0.0720847353597986,0.0031847133757961,0.1333333333333333,0.2419129845172357,0.75,0.0063492063492063,0.0133333333333333,0.3333333333333333,11.146448953311053,1489,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-c3ffff,Distributed throughout the day,7.802514267317736,MINIMAL,FALLING,0,0.8697032698813834,morning_shift,10:00
896014514d3ffff,21,19,1,9,1.0103048423883136,3,2.1904761904761907,CAR,WRONG PARKING,12.871897666666666,77.53910779047618,Thalagattapura,0.0,collector,2.0,2400.0,0.1428571428571428,21.0,False,-0.2263628094352681,0.276,False,False,-0.2396897281735548,0.274,4,HL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0057973948532016,0.0057973948532016,0.6057786546239967,0.0095701537334624,0.0730455071621127,0.1273885350318471,0.2380952380952381,0.2547830786747705,10.5,0.1301587301587301,0.0533333333333333,0.1428571428571428,16.95656542548207,715,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-d3ffff,Distributed throughout the day,16.95656542548207,MINIMAL,STABLE,2,2.875251110286539,morning_shift,11:00
896014514d7ffff,32,30,4,15,1.0696632399270056,9,2.140625,CAR,WRONG PARKING,12.870367803125,77.537703228125,Thalagattapura,0.0,arterial,2.0,3600.0,0.28125,8.0,False,-0.1003219235787251,0.492,False,False,-0.0045992333727205,0.497,4,HL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.008834125490593,0.0022085313726482,0.6057786546239967,0.0036457728508428,0.0543044857881827,0.0445859872611464,0.228125,0.0037362545382709,4.0,0.0476190476190476,0.0933333333333333,0.28125,10.211993819913127,1611,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-d7ffff,Distributed throughout the day,13.275591965887068,MINIMAL,RISING,2,1.3557026311132712,morning_shift,11:00
896014514dbffff,36,35,9,20,0.8855201565388708,5,1.7361111111111112,CAR,NO PARKING,12.874251525,77.540935175,Thalagattapura,0.0,arterial,2.0,3600.0,0.1388888888888889,4.0,False,-0.0604225779931371,0.452,False,False,0.0160018462092573,0.445,3,LL,False,False,NOT_HOTSPOT,0.0,36.0,36.0,1.0,0.0,,0.0099383911769171,0.0011042656863241,1.6666666666666667,0.0006625594117944,0.054063947080323,0.019108280254777,0.1472222222222222,0.0005140993800639,2.0,0.0222222222222222,0.1266666666666666,0.1388888888888889,6.421322327304041,2150,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-dbffff,Distributed throughout the day,4.494925629112828,MINIMAL,FALLING,0,0.28863366301793364,morning_shift,12:00
89601451613ffff,1,1,1,1,0.8317766166719344,0,2.0,CAR,WRONG PARKING,12.8931845,77.537668,Thalagattapura,0.0,local,2.0,1600.0,0.0,1.0,False,-0.4148689065629321,0.012,False,True,0.2067740688299069,0.014,3,LL,True,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.1081106761944346,0.0,0.2,0.7245013052181493,0.5,0.0031746031746031,0.0,0.0,18.537645151982037,549,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-13ffff,Distributed throughout the day,14.83011612158563,MINIMAL,UNKNOWN,1,2.7491543022464255,evening_shift,15:00
8960145164bffff,4,3,3,4,2.3727522950440174,1,3.5,LGV,WRONG PARKING,12.907506134713111,77.5400347975,K.S. Layout,0.0,collector,2.0,2400.0,0.25,1.3333333333333333,False,-0.2271834738520561,0.273,False,False,0.1073042345662066,0.274,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0011042656863241,0.000368088562108,0.6057786546239967,0.0006076288084738,0.0721322147328504,0.0021231422505307,0.5,0.242548998189,0.6666666666666666,0.0052910052910052,0.02,0.25,17.68342359940835,664,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),K.S. Layout / Cell-4bffff,Distributed throughout the day,17.68342359940835,MINIMAL,STABLE,0,3.1270347019611218,morning_shift,10:00
8960145164fffff,1,1,1,1,0.9887510598012988,0,1.0,MOPED,PARKING IN A MAIN ROAD | WRONG PARKING,12.906572277939109,77.53498177,K.S. Layout,0.0,local,2.0,1600.0,0.0,1.0,False,-0.29308714970554,0.137,False,False,0.1460469387815257,0.15,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.1080778318613138,0.0,0.0,0.7240613363735308,0.5,0.0031746031746031,0.0,0.0,14.528845775089664,991,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),K.S. Layout / Cell-4fffff,Distributed throughout the day,11.623076620071732,MINIMAL,UNKNOWN,1,1.6886988764507262,morning_shift,7:00
8960145165bffff,57,56,7,26,0.6134960571798111,3,1.5789473684210529,SCOOTER,WRONG PARKING,12.905917475438596,77.54234991754386,K.S. Layout,0.0,collector,2.0,2400.0,0.0526315789473684,8.142857142857142,False,-0.3028908292350085,0.124,False,False,-0.0172505728902444,0.133,4,HL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0157357860301188,0.0022479694328741,0.6057786546239967,0.003710875937465,0.0723120507724752,0.0454959053685168,0.1157894736842105,0.2449580059859759,4.071428571428571,0.0485260770975056,0.1666666666666666,0.0526315789473684,11.273220840219588,1469,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),K.S. Layout / Cell-5bffff,Distributed throughout the day,7.891254588153711,MINIMAL,FALLING,1,0.8895985567865285,morning_shift,13:00
89601451663ffff,1,1,1,1,0.4158883083359672,0,1.0,SCOOTER,WRONG PARKING,12.9048421,77.5299793,K.S. Layout,0.0,collector,2.0,2400.0,0.0,1.0,False,-0.302811168313925,0.124,False,False,0.1508958731199896,0.132,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.0720518879075426,0.0,0.0,0.2414729738899966,0.5,0.0031746031746031,0.0,0.0,4.87707852541898,2273,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),K.S. Layout / Cell-63ffff,Distributed throughout the day,3.9016628203351846,MINIMAL,UNKNOWN,1,0.19028715954482384,night_shift,3:00
8960145166bffff,1,1,1,1,0.9887510598012988,0,1.0,MOPED,PARKING IN A MAIN ROAD | WRONG PARKING,12.907096614408124,77.53212372,K.S. Layout,0.0,local,2.0,1600.0,0.0,1.0,False,-0.29308714970554,0.136,False,False,0.1460469387815257,0.149,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.1080778318613138,0.0,0.0,0.7240613363735308,0.5,0.0031746031746031,0.0,0.0,14.528845775089664,991,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),K.S. Layout / Cell-6bffff,Distributed throughout the day,11.623076620071732,MINIMAL,UNKNOWN,1,1.6886988764507262,night_shift,5:00
8960145167bffff,5,5,2,4,0.8741785095082324,0,1.0,MOPED,PARKING IN A MAIN ROAD | WRONG PARKING,12.905993697226842,77.53293782287084,K.S. Layout,0.0,collector,2.0,2400.0,0.0,2.5,False,-0.3076185377884655,0.116,False,False,0.1174461817985795,0.129,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.0013803321079051,0.0006901660539525,0.6057786546239967,0.0011393040158883,0.0720847353597986,0.0095541401273885,0.0,0.2419129845172357,1.25,0.0126984126984126,0.02,0.0,5.467589384005618,2220,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),K.S. Layout / Cell-7bffff,Distributed throughout the day,5.467589384005618,MINIMAL,STABLE,1,0.2989453367209093,morning_shift,7:00
89601451697ffff,1,1,1,1,0.6931471805599453,0,2.0,CAR,NO PARKING,12.8865023,77.5380934,Thalagattapura,0.0,collector,2.0,2400.0,0.0,1.0,False,-0.3299573869289995,0.082,False,False,0.1644324814815346,0.094,3,LL,False,False,NOT_HOTSPOT,0.0,99.04607820366608,,0.0,0.0,,0.000276066421581,0.000276066421581,0.6057786546239967,0.0004557216063553,0.072073784129623,0.0,0.2,0.2417662864530736,0.5,0.0031746031746031,0.0,0.0,8.882944776680523,1831,Top-20 ranking stable under ±20% weight perturbation (mean overlap: 93.3%),Thalagattapura / Cell-97ffff,Distributed throughout the day,7.106355821344419,MINIMAL,UNKNOWN,1,0.6312536632444463,morning_shift,12:00
